date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:33:55	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2030%20Oct%202021%2001:34:09%20GMT	http://template-versus.webflow.io/robots.txt		(from )
22:33:56	8138/8138	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2001:34:09%20GMT	http://template-versus.webflow.io/	D:/My%20Web%20Sites/3/mysite/template-versus.webflow.io/index.html	(from )
22:33:57	38987/38987	---M-Z	200	added ('OK')	text/css	etag:%22f2f32075a2a11c8dbf72d7ad74371220%22	https://daks2k3a4ib2z.cloudfront.net/560f27977849849d0e1fee5c/css/template-versus.webflow.4a4511927.css	D:/My%20Web%20Sites/3/mysite/daks2k3a4ib2z.cloudfront.net/560f27977849849d0e1fee5c/css/template-versus.webflow.4a4511927.css	(from http://template-versus.webflow.io/)
22:33:57	17698/17698	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js	D:/My%20Web%20Sites/3/mysite/ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js	(from http://template-versus.webflow.io/)
22:33:57	5267/5267	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a89f4997162bf61e019b926e08682bdf%22	https://daks2k3a4ib2z.cloudfront.net/0globals/modernizr-2.7.1.js	D:/My%20Web%20Sites/3/mysite/daks2k3a4ib2z.cloudfront.net/0globals/modernizr-2.7.1.js	(from http://template-versus.webflow.io/)
22:33:58	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://daks2k3a4ib2z.cloudfront.net/img/webclip.png	D:/My%20Web%20Sites/3/mysite/daks2k3a4ib2z.cloudfront.net/img/webclip.png	(from http://template-versus.webflow.io/)
22:33:58	3592/3592	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2001:34:11%20GMT	http://template-versus.webflow.io/about	D:/My%20Web%20Sites/3/mysite/template-versus.webflow.io/about.html	(from http://template-versus.webflow.io/)
22:33:58	3399/3399	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2001:34:12%20GMT	http://template-versus.webflow.io/contact	D:/My%20Web%20Sites/3/mysite/template-versus.webflow.io/contact.html	(from http://template-versus.webflow.io/)
22:33:58	11744/11744	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2001:34:12%20GMT	http://template-versus.webflow.io/projects/music-player	D:/My%20Web%20Sites/3/mysite/template-versus.webflow.io/projects/music-player.html	(from http://template-versus.webflow.io/)
22:33:59	11955/11955	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2001:34:13%20GMT	http://template-versus.webflow.io/projects/console-app	D:/My%20Web%20Sites/3/mysite/template-versus.webflow.io/projects/console-app.html	(from http://template-versus.webflow.io/)
22:33:59	167854/167854	---M--	200	added ('OK')	image/jpeg	etag:%224bc0a3a4418bc03759ca653c62088126%22	https://daks2k3a4ib2z.cloudfront.net/56104995fd4f22cf7e335ea0/56148d518924f1f620d590e3_zip-code-800.jpg	D:/My%20Web%20Sites/3/mysite/daks2k3a4ib2z.cloudfront.net/56104995fd4f22cf7e335ea0/56148d518924f1f620d590e3_zip-code-800.jpg	(from http://template-versus.webflow.io/)
22:34:01	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2030%20Oct%202021%2001:34:15%20GMT	http://template-versus.webflow.io/projects/infographic	D:/My%20Web%20Sites/3/mysite/template-versus.webflow.io/projects/infographic	(from http://template-versus.webflow.io/)
22:34:04	10105/10105	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Oct%202021%2001:34:15%20GMT	http://template-versus.webflow.io/projects/sports-car-app	D:/My%20Web%20Sites/3/mysite/template-versus.webflow.io/projects/sports-car-app.html	(from http://template-versus.webflow.io/)
22:34:04	418799/418799	---M--	200	added ('OK')	image/png	etag:%229fff366be65a790061435a5171d5e7f1%22	https://daks2k3a4ib2z.cloudfront.net/56104995fd4f22cf7e335ea0/56147659a92a0f0d59878a02_thum.png	D:/My%20Web%20Sites/3/mysite/daks2k3a4ib2z.cloudfront.net/56104995fd4f22cf7e335ea0/56147659a92a0f0d59878a02_thum.png	(from http://template-versus.webflow.io/)
